ticket_id,machine_id,opened_at,closed_at,issue_type,root_cause,action_taken,status
1001,M01,2024-01-07T00:11:00,2024-12-31T15:12:00,Vibration,Calibration Drift,"Adjusted sensor thresholds, replaced faulty sensor, and verified readings.",CLOSED
1002,M02,2024-01-16T08:04:00,2024-12-23T00:54:00,Frequent Jams,Material Quality,Escalated recurring material quality issue to supplier and updated incoming inspection plan.,CLOSED
1003,M03,2024-01-03T14:27:00,2024-12-30T17:21:00,Overheating,Calibration Drift,Replaced worn components and recalibrated line.,CLOSED
1004,M04,2024-01-08T14:32:00,2024-12-30T07:47:00,Overheating,Calibration Drift,"Adjusted sensor thresholds, replaced faulty sensor, and verified readings.",CLOSED
1005,M05,2024-01-08T22:25:00,2024-12-30T22:28:00,Sensor Errors,Misalignment,Escalated recurring material quality issue to supplier and updated incoming inspection plan.,CLOSED
1006,M06,2024-01-01T08:11:00,2024-12-10T17:31:00,Overheating,Material Quality,Replaced worn components and recalibrated line.,CLOSED
1007,M07,2024-01-19T14:13:00,2024-12-30T01:48:00,Vibration,Bearing Wear,"Adjusted sensor thresholds, replaced faulty sensor, and verified readings.",CLOSED
1008,M08,2024-01-01T22:34:00,2024-12-30T23:15:00,Overheating,Calibration Drift,Replaced worn components and recalibrated line.,CLOSED
1009,M09,2024-01-03T22:14:00,2024-12-09T16:11:00,Sensor Errors,Calibration Drift,"Adjusted sensor thresholds, replaced faulty sensor, and verified readings.",CLOSED
1010,M10,2024-01-05T07:56:00,2024-12-26T02:34:00,Overheating,Bearing Wear,Replaced worn components and recalibrated line.,CLOSED
1011,M11,2024-01-05T09:21:00,2025-01-01T01:17:00,Vibration,Misalignment,"Adjusted sensor thresholds, replaced faulty sensor, and verified readings.",CLOSED
1012,M12,2024-01-08T16:32:00,2024-12-30T10:33:00,Vibration,Calibration Drift,Replaced worn components and recalibrated line.,CLOSED
1013,M13,2024-01-04T16:15:00,2024-12-27T10:25:00,Sensor Errors,Calibration Drift,Replaced worn components and recalibrated line.,CLOSED
1014,M14,2024-01-07T17:32:00,2025-01-01T00:24:00,Sensor Errors,Misalignment,Realigned mechanical assembly and tightened fixtures.,CLOSED
1015,M15,2024-01-06T07:20:00,2024-12-29T09:22:00,Sensor Errors,Misalignment,Realigned mechanical assembly and tightened fixtures.,CLOSED
1016,M16,2024-01-04T00:03:00,2024-12-29T15:26:00,Overheating,Bearing Wear,Realigned mechanical assembly and tightened fixtures.,CLOSED
1017,M17,2024-01-22T07:16:00,2024-12-25T07:36:00,Vibration,Material Quality,Replaced worn components and recalibrated line.,CLOSED
1018,M18,2024-01-02T17:13:00,2024-12-30T07:53:00,Overheating,Bearing Wear,Realigned mechanical assembly and tightened fixtures.,CLOSED
1019,M19,2024-01-02T22:09:00,2024-12-28T07:25:00,Vibration,Misalignment,Escalated recurring material quality issue to supplier and updated incoming inspection plan.,CLOSED
1020,M20,2024-01-03T14:34:00,2024-12-21T23:27:00,Sensor Errors,Material Quality,Replaced worn components and recalibrated line.,CLOSED
1021,M21,2024-01-03T15:25:00,2024-12-25T18:25:00,Sensor Errors,Calibration Drift,Realigned mechanical assembly and tightened fixtures.,CLOSED
1022,M22,2024-01-15T17:22:00,2024-12-22T23:54:00,Vibration,Calibration Drift,Escalated recurring material quality issue to supplier and updated incoming inspection plan.,CLOSED
1023,M23,2024-01-19T07:03:00,2024-12-24T16:40:00,Overheating,Bearing Wear,Realigned mechanical assembly and tightened fixtures.,CLOSED
